GDP (Billions),Gold Medals,Gold Medals Male,Gold Medals Female
22,0,0,0
770,0,0,0
208,7,3,4
6,0,0,0
18,2,2,0
204,2,2,0
208,5,0,5
293,4,3,1
295,6,6,0
209,8,6,2
272,3,3,0
301,3,3,0
4,0,0,0
8,0,0,0
1,0,0,0
35,0,0,0
49,0,0,0
9,0,0,0
9,0,0,0
316,0,0,0
176,2,2,0
105,9,8,1
170,8,5,3
7,0,0,0
700,0,0,0
1190,1,1,0
2260,0,0,0
2660,48,31,17
1950,31,14,17
2,0,0,0
43,0,0,0
6,0,0,0
106,2,1,1
38,0,0,0
4,0,0,0
1650,22,19,3
2890,31,22,9
199,0,0,0
23,1,1,0
6,0,0,0
6,0,0,0
45,1,1,0
45,1,1,0
12,0,0,0
829,21,2,19
12,0,0,0
1,0,0,0
7,0,0,0
330,1,1,0
14,15,15,0
2400,17,12,5
2500,42,29,13
2240,22,11,11
3000,23,14,9
28,9,6,3
20,3,3,0
364,0,0,0
8,3,3,0
22,0,0,0
26,0,0,0
362,20,20,0
17,0,0,0
1100,2,1,1
1190,16,16,0
27,0,0,0
61,2,2,0
67,0,0,0
545,21,19,2
2,0,0,0
2,0,0,0
19,11,10,1
1320,30,6,24
1610,67,40,27
381,1,1,0
2,0,0,0
36,0,0,0
4940,17,9,8
4850,1,1,0
22,16,16,0
273,3,3,0
10,0,0,0
183,0,0,0
0,0,0,0
1180,8,7,1
1770,5,0,5
6,1,1,0
8,2,2,0
2820,41,12,29
9,0,0,0
1,0,0,0
35,4,4,0
13,0,0,0
48,0,0,0
66,21,21,0
146,4,4,0
534,6,6,0
500,2,2,0
2120,95,72,23
17,0,0,0
7,0,0,0
1,0,0,0
1,0,0,0
326,14,12,2
136,0,0,0
3,1,1,0
6,0,0,0
10,0,0,0
113,0,0,0
0,0,0,0
105,0,0,0
461,11,9,2
910,22,22,0
26,0,0,0
2650,64,36,28
194,7,6,1
236,18,1,17
402,32,11,21
41,3,1,2
3020,1,0,1
104,4,1,3
133,4,1,3
176,9,5,4
185,6,5,1
3540,45,39,6
140,6,6,0
2,0,0,0
4,0,0,0
5,0,0,0
38,0,0,0
864,1,1,0
55,1,0,1
1410,14,8,6
63,1,1,0
135,0,0,0
72,2,1,1
93,6,4,2
1,0,0,0
1,0,0,0
2,0,0,0
4,0,0,0
5,0,0,0
29,0,0,0
35,17,16,1
29,0,0,0
1,0,0,0
1,0,0,0
193,1,0,1
2850,4,4,0
2470,14,1,13
1,0,0,0
9,2,1,1
27,4,2,2
24,0,0,0
64,0,0,0
21,0,0,0
2860,24,24,0
13,0,0,0
1,1,1,0
12,0,0,0
38,0,0,0
235,4,4,0
1370,22,19,3
11,0,0,0
3420,15,3,12
401,13,13,0
544,2,2,0
14,1,0,1
0,0,0,0
7,0,0,0
0,0,0,0
14,1,1,0
108,10,7,3
88,9,9,0
12,2,1,1
23,1,1,0
43,0,0,0
8,0,0,0
1,0,0,0
45,0,0,0
3,0,0,0
4,0,0,0
0,0,0,0
11,0,0,0
90,0,0,0
90,0,0,0
850,5,3,2
655,0,0,0
651,4,1,3
936,39,1,38
1700,14,1,13
47,8,6,2
31,0,0,0
65,8,3,5
180,10,4,6
25,0,0,0
7,0,0,0
45,10,6,4
31,3,1,2
3,0,0,0
1,0,0,0
431,5,1,4
22,1,0,1
498,0,0,0
709,6,4,2
531,0,0,0
519,1,0,1
392,36,30,6
314,0,0,0
297,0,0,0
10,2,1,1
119,4,4,0
123,0,0,0
4,0,0,0
110,3,3,0
1,0,0,0
46,6,6,0
95,0,0,0
295,2,1,1
130,4,4,0
354,0,0,0
246,0,0,0
193,3,1,2
38,0,0,0
5,0,0,0
172,2,1,1
934,0,0,0
7,0,0,0
1800,24,10,14
17,0,0,0
24,16,16,0
22,1,1,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
2,0,0,0
4,0,0,0
704,18,12,6
3,0,0,0
164,18,3,15
371,0,0,0
1,0,0,0
1,0,0,0
85,0,0,0
4,0,0,0
1,0,0,0
1,0,0,0
2,0,0,0
6,0,0,0
1400,0,0,0
5,0,0,0
1790,59,30,29
13900,9,7,2
430,0,0,0
20,0,0,0
2150,0,0,0
1,0,0,0
722,46,33,13
31,0,0,0
19,0,0,0
2,0,0,0
48,1,1,0
2,0,0,0
126,0,0,0
1,0,0,0
9,0,0,0
1,0,0,0
79,0,0,0
25,37,26,11
5,0,0,0
21,0,0,0
6,0,0,0
8,0,0,0
38,32,30,2
1,0,0,0
20,0,0,0
45,0,0,0
89,1,1,0
1,0,0,0
6,0,0,0
26,0,0,0
9,0,0,0
8,0,0,0
80,0,0,0
233,0,0,0
229,0,0,0
19,0,0,0
25,0,0,0
27,0,0,0
2,0,0,0
4,0,0,0
51,0,0,0
932,2,1,1
12,1,1,0
1410,2,2,0
24,8,6,2
1,0,0,0
1,0,0,0
7,0,0,0
6,0,0,0
2,0,0,0
23,1,1,0
267,0,0,0
264,0,0,0
2,0,0,0
54,7,6,1
184,16,16,0
7,0,0,0
11,0,0,0
918,0,0,0
8,13,13,0
3,0,0,0
31,16,16,0
9,0,0,0
1,0,0,0
221,0,0,0
350,37,16,21
456,7,2,5
374,6,1,5
5,6,6,0
9,2,1,1
32,9,8,1
109,8,7,1
197,0,0,0
134,2,2,0
217,0,0,0
248,0,0,0
15,3,3,0
8,0,0,0
27,0,0,0
36,1,1,0
8,0,0,0
13,0,0,0
34,0,0,0
920,0,0,0
23,0,0,0
26,1,1,0
22,0,0,0
1960,54,17,37
11200,47,16,31
272,0,0,0
165,28,28,0
1,0,0,0
1,0,0,0
43,2,0,2
9,5,4,1
12,3,2,1
95,4,2,2
1500,5,2,3
148,3,1,2
2440,1,0,1
53,1,1,0
297,1,1,0
52,0,0,0
4,0,0,0
6,0,0,0
43,1,1,0
176,9,4,5
1100,0,0,0
8,0,0,0
514,2,0,2
7,11,11,0
18,0,0,0
47,25,23,2
104,24,18,6
91,1,1,0
11,0,0,0
1,0,0,0
14,7,7,0
11,2,2,0
20,0,0,0
1,0,0,0
874,2,1,1
51,0,0,0
0,0,0,0
1,0,0,0
52,11,6,5
543,100,75,25
686,96,73,23
29,7,5,2
49,6,6,0
60,0,0,0
93,2,2,0
271,14,3,11
10,0,0,0
17,0,0,0
28,0,0,0
25,0,0,0
190,2,2,0
221,0,0,0
15,1,0,1
18,3,2,1
3,0,0,0
1,0,0,0
53,0,0,0
65,0,0,0
5,0,0,0
88,0,0,0
1,0,0,0
36,6,4,2
10,0,0,0
5,0,0,0
53,8,5,3
56,15,15,0
1,0,0,0
4,0,0,0
42,0,0,0
4,0,0,0
188,21,5,16
25,0,0,0
64,0,0,0
54,0,0,0
14,0,0,0
31,0,0,0
159,0,0,0
190,0,0,0
259,0,0,0
9,0,0,0
66,0,0,0
88,0,0,0
5,0,0,0
520,0,0,0
736,0,0,0
12,0,0,0
13,0,0,0
174,0,0,0
21,0,0,0
187,0,0,0
